Переменная|Англ.|Русс.|Перевод
frontend.views.request.what_is_it|"What does ""place a request"" mean?"|Что такое разместить заявку?|Ce presupune plasarea unei cereri?
frontend.views.site.no_delivery|What happens when the order is not delivered? |Что произойдет если заказ не был доставлен?|Ce se va întâmpla, dacă comanda nu va fi livrată?
frontend.views.site.several_managers|What if I have several managers working on orders?|Что если у меня несколько менеджеров по работе с заказами?|Cum procedez, dacă am mai mulți manageri în lucrul cu comenzile?
frontend.views.site.debet|What if a client doesn't pay receivables?|Если клиент не выплачивает дебиторскую задолженность?|În cazul în care clientul nu plătește datoria debitorului?
frontend.views.site.what_if|What if suppliers have different minimum order quantity?|Что если у поставщиков различные мин. порог заказа?|Ce se întâmplă dacă pragul minim de comenzi ale furnizorilor este diferit ? 
frontend.views.site.bad_conditions|What if the order is delivered in an inadequate condition?|Что если заказ доставлен в ненадлежащем состоянии?|Ce se întâmplă, în cazul în care comanda a fost livrată în condiții proaste?
frontend.views.request.payment_variant_three|What is a way of payment?|Способ оплаты?|Modalități de plată?
frontend.views.request.what_wanna_buy|What would you like to buy?|Что вы хотите купить?|Ce doriți să achiziționați?
масло зародышей пшеницы|Wheat germ oil|Масло зародышей пшеницы|Ulei de germeni de grâu
Вино|Wine|Вино|Vin
Винотека|Wine collection|Винотека|Vinotecă
Винные напитки|Wine drinks|Винные напитки|Băuturi din vin
frontend.views.request.no_cash_two|Wire transfer|Безналичный расчет|Plata fără numerar
frontend.views.site.wanna_work|Would you like to work for us?|Хотите работать у нас?|Vrei să lucrezi cu noi?
Неправильный формат email|Wrong email format|Неправильный формат email|Format greșit de e-mail
frontend.controllers.vendor.wrong_number|Wrong format<strong>Multiplicity</strong><br><small>Number only</small>|Не верный формат <strong>Кратность</strong><br><small>только число</small>|Format nevalid <strong> Multiplicitate </ strong> <small> doar numărul</ small> 
frontend.controllers.vendor.wrong_price|Wrong format<strong>Price</strong><br><small>Number format 0.00 only</small>|Не верный формат <strong>Цены</strong><br><small>только число в формате 0,00</small>|Format nevalid <strong> Multiplicitate </ strong> <small>doar nr. în format  0,00</small> 
frontend.controllers.vendor.wrong_price_two|Wrong format<strong>Prices</strong><br><small>Number format 0.00 only</small>|Неверный формат <strong>Цены</strong><br><small>только число в формате 0,00</small>|Format nevalid <strong> Prețuri </ strong> <br> <small> doar numărul în format 0,00 </ small>
frontend.controllers.vendor.wrong_good|Wrong product|Неверный товар|Produs nevalid
frontend.controllers.vendor.wrong_ed|Wrong<strong>Measurement unit</strong>specified|Неверная <strong>Единица измерения</strong> товара|<Strong> Unitate de măsură </ strong> este nevalidă
market.views.site.main.your_city|YOUR CITY|ВАШ ГОРОД|Orasul tau
Йемен|Yemen|Йемен|Yemen
frontend.views.request.yep|Yes|Да|Da
common.mail.welcome.i_know|Yes, I know, implementation of new tools seem to be difficult in the beginning, but believe me, it is much easier and the result is worth it|Да, я знаю, сначала кажется сложным внедрение новых инструментов, но, поверьте, все намного проще, чем может показаться, и результат того стоит|Da, știu, la început pare dificil să introduci noi instrumente, dar, crede-mă, totul este mult mai ușor decât pare și rezultatul merită
api.common.mail.confirm_email.i_know|Yes, I know, implementation of new tools seems to be difficult in the beginning, but believe me, it is much easier and the result is worth it.|Да, я знаю, сначала кажется сложным внедрение новых инструментов, но, поверьте, все намного проще, чем может показаться, и результат того стоит.|Da, știu, la început pare dificil să introduci noi instrumente, dar, crede-mă, totul este mult mai ușor decât pare și rezultatul merită.
frontend.views.order.yep_delete|Yes, delete|Да, удалить|Da, ștergeți
frontend.views.site.repeat_orders_two|"Yes, in order to repeat any of the previous orders go to ""Orders History"", choose the required order and send it to the supplier again. You can also add order or delete part of the ordered products. "|"Да, для того, что бы повторить любой из прошлых заказов, зайдите в раздел ""история заказов"", выберите необходимый заказ, и отправьте его поставщику вновь. Вы так же можете дополнить заказ или удалить часть, заказываемых продуктов."|"Da, pentru a repeta oricare dintre comenzile anterioare, mergeți la secțiunea ""Istoric comenzi"", selectați comanda necesară și trimiteți-o din nou la furnizor. De asemenea, puteți completa comanda sau puteți șterge o parte din produsele comandate."
frontend.views.site.sure|Yes, of course! In your account you can add several purchasers, each of them will be related to one or another restaurant. Besides, you can look through the analytics of each purchaser (restaurant) individually or view all managers together.  |Да, конечно. Вы можете добавить в свой аккаунт, нескольких закупщиков, каждый из которых имеет отношение к тому или иному ресторану. Вы так же можете просматривать аналитику по каждому отдельному менеджеру (ресторану), или сделать выборку по всем менеджерам сразу.|Da, desigur. Puteți adăuga în cont, mai mulți cumpărători, fiecare dintre care se referă la un anumit restaurant. Puteți, de asemenea, să vedeți analizele pentru fiecare manager (restaurant) individual sau să faceți o selecție pentru toți managerii simultan
frontend.views.site.of_course|Yes, of course! You can set limit per month for purchase.<br/>When the limit is reached, MixCart will inform you. Further purchases will be available only after limit extension or cancellation of the function. |Да, конечно! Вы можете выставить месячный лимит закупки.<br/> При исчерпании лимита, MixCart сообщит вам об этом. Далее закупки будут возможны только при увеличении лимита или отключении данной функции.|Da, desigur! Puteți seta o limită de achiziție lunară. <br/> Dacă limita este epuizată, MixCart vă va notifica. Achizițiile ulterioare vor fi posibile numai prin mărirea limitei sau dezactivarea acestei funcții.
frontend.views.site.yep|Yes, one restaurant can have one or several purchasers. For example, you can divide purchase of products and drinks. |Да, в одном ресторане у вас может быть как один, так и несколько закупщиков. Например вы можете разделить закупку продуктов и бара.|Da, într-un restaurant puteți avea unul sau mai mulți cumpărători. De exemplu, puteți împărți achiziția de produse și a cafenelei.
frontend.views.site.you_can|"Yes, you can show part of your products in the Market place or hide some.<br/> To hide products from the Market place please go to ""My catalogues"" and enter basic catalogue and press ""edit"" and hide the required products.<br/> The hidden products will be displayed for the returning customers but new customers who come to the Market place may not see them. "|"Да, вы можете не отображать все продукты или часть из них на маркет плейсе.<br/> Для того, чтобы скрыть продукты из маркет плейса перейдите в раздел ""мои каталоги"" войдите в базовый каталог, нажмите ""редактировать"", и скройте необходимые продукты.<br/> Скрытые продукты будут видны вашим клиентам, но новые клиенты, пришедшие на маркет плейс, не смогут их увидеть."|"Da, puteți să nu afișați pe platforma Market Place toate produsele sau o parte din ele. <br/> Pentru a ascunde produsele de pe Market Place, treceți la secțiunea ""Cataloagele mele"", introduceți catalogul de bază, faceți clic pe ""editați"" și ascundeți produsele necesare . <br/> Produsele ascunse vor fi vizibile clienților dvs., dar noii clienți care accesează platforma market Place nu vor putea să le vadă."
frontend.views.site.several_regions|Yes. In case that you deliver to several regions of RF, specify it in the Settings.  In such a way customers from regions specified in the settings can see your products. |Да, если вы осуществляете поставки в несколько регионов РФ, то в настройках укажите это. Тогда ваши продукты смогут видеть клиенты из тех регионов, которые вы установили в настройках.|Da, dacă livrați în mai multe regiuni ale Federației Ruse, specificați-le în setări. Apoi, produsele dvs. vor putea fi văzute de clienții din regiunile pe care le-ați indicat în setări.
common.models.yesterday_in|Yesterday at|Вчера, в |Ieri, la
frontend.views.client.index.var4|You always can add suppliers that you cooperate with. |Вы всегда можете добавить поставщиков, с которыми уже работаете.|Întotdeauna aveți posibilitatea să adăugați furnizori, cu care colaborați deja.
frontend.views.client.index.var7|You always can complete training again.|Вы всегда можете пройти обучение заново.|Puteți trece întotdeauna un nou curs de formare.
sms.request_set_responsible|You are appointed as a Performer of the request  No.{request_id} at mix-cart.com|Вы назначены исполнителем по заявке №{request_id} на mixcart.ru|Ați fost desemnat executor al cererii nr. {Request_id} pe mixcart.ru
sms.request_unset_responsible|You are removed from the perform of request No.{request_id} at mix-cart.com|Вы сняты с исполнения по заявке №{request_id} на mixcart.ru|Ați fost înlăturat de la executarea cererii nr. {Request_id} pe mixcart.ru
frontend.views.user.default.success|You are successfully registered in system|Вы успешно зарегистрировались в системе|Ați fost înregistrat în sistem cu succes!
frontend.controllers.user.success|You are successfully signed in|Регистрация прошла успешно|Înregistrarea a avut loc cu succes!
frontend.views.order.guides.can_manage|You can add products to your cart from the template|Вы можете добавить товары в корзину из шаблона|Puteți adăuga marfa în coșul șablonului!
frontend.views.request.change_address|"You can change address can be in ""Settings"""|"Адрес можно изменить в разделе ""Настройки"""|"Adresa poate fi modificată în secțiunea ""Setări"""
frontend.views.client.dashboard.can_create|You can create a request for the specified product<br>suppliers will find you themselves. Or find products and suppliers at MixMarket|Вы можете создать заявку на конкретный продукт,<br>поставщики сами Вас найдут.<br>Или найти продуктов и поставщиков на MixMarket|Puteți crea o cerere pentru un anumit produs<br>, furnizorii vă vor găsi <br> Sau puteți găsi produse și distribuitori pe MixMarket
frontend.views.site.|"You can do it in the section ""My catalogues"" by opening basic catalogue. Hide prices for definite or all products. At that, your returning customers can see your prices. But keep in mind that suppliers with accessible prices look more attractive for new customers. "|"Да, можете. В разделе ""мои каталоги"" отредактируйте базовый каталог. Скройте для конкретных продуктов или для всех. При этом ваши текущие клиенты смогут видеть ваши цены. Но имейте в виду, что для новых клиентов, поставщики с открытыми ценами, более привлекательны."|"Da, puteți. În secțiunea ""cataloagele mele"", editați catalogul de bază. Ascundeți prețurile pentru anumite produse sau pentru toate. În acest caz, clienții dvs. actuali vor putea vedea prețurile dvs. Dar, trebuie să țineți cont de faptul, că pentru noii clienți, furnizorii cu prețuri deschise sunt mai atractivi."
franchise.views.organization.under_text|"You can edit suppliers price list by entering into supplier's account. After you click button ""Go to the Company’s online area under your personal account"" you should fill in your own login and password and you will be redirected into supplier's account.<br><br>                         If the button is inactive then it means that supplier restricted franchisee from entering into his account."|"Прайс-листы поставщика вы можете отредактировать, зайдя в личный кабинет клиента по кнопке ""Перейти в ЛК организации под своей учеткой"".
<br/><br/>
После ее нажатия откроется новая вкладка и вам надо будет ввести свой логин и пароль.
<br/><br/>
Далее откроется личный кабинет клиента. Если кнопка неактивна, значит клиент запретил доступ для франчайзи."|"Puteți edita listele de preț ale furnizorului accesând contul personal al clientului făcând clic pe butonul ""Mergeți la contul persoanal al companiei în contul dvs."".
<br/> <br/>
După ce faceți clic pe el, se va deschide o nouă pagină și va trebui să introduceți login-ul și parola.
<br/> <br/>
Apoi, cabinetul clientului se va deschide. Dacă butonul este inactiv, clientul a refuzat accesul la franciză."
frontend.views.site.limit_value|You can limit the purchased scope. The purchaser wouldn't be able to buy above the limit. |Вы можете ограничить объем закупок определенным лимитом. Закупщик не сможет сделать закупку больше лимита.|Puteți limita cantitatea de achiziții. Managerul pe achiziții nu va fi capabil să facă achiziții peste limita stabilită
Нельзя сохранить пустой каталог!|You can not save an empty catalog!|Нельзя сохранить пустой каталог!|Un catalog necompletat nu poate fi salvat!
frontend.views.site.good_prices|You can place tender for purchase of some or another products and the suppliers can offer you the most beneficial prices.|Вы можете разместить тендер на закупку тех или иных продуктов, и поставщики сами предложат вам максимально выгодные для вас цены.|Puteți plasa o ofertă pentru achiziționarea anumitor produse, iar furnizorii înșiși vă vor oferi cele mai avantajoase prețuri pentru dvs.
frontend.views.vendor.market|You can place your product in Market.|Вы можете разместить Ваш товар в Маркете|Puteți plasa produsele Dvs. în Market.
frontend.views.request.self_offer|You can see only your offer|Вы можете видеть только свое предложение|Puteți vedea doar ofertele Dvs.
frontend.controllers.vendor.empty|You cannot save a blank catalogue!|Нельзя сохранить пустой каталог!|Nu puteți salva un catalog gol!
frontend.views.order.not_saved_changes|You changed order but didn't apply changes!|Вы изменили заказ, но не сохранили изменения!|Ați modificat comanda, dar nu ați salvat modificările!
market.controllers.site.already_have|You have already catalogue of this supplier!|Вы уже имеете каталог этого поставщика!|Deja aveți catalogul acestui furnizor!
frontend.views.layouts.main.var6|You have already sent a request|Вы уже отправляли заявку|Deja ați expediat cererea!
api.common.mail.confirm_email.you_registered|You have registered in the service|Вы зарегистрировались в сервисе|Ați fost înregistrat în service
common.mail.request_invite_to_rest.req_sent|You have sent cooperation request to the supplier|Вы отправили запрос на сотрудничество поставщику|Ați expediat o ofertă de colaborare cu furnizorul!
common.models.already_sent|You have sent invitation to this supplier, confirmation letter from supplier is expecting.|Вы уже отправили приглашение этому поставщику, ожидается подтверждение от поставщика|Deja ați expediat invitația acestui furnizor, se așteaptă confirmarea!
frontend.views.vendor.catalog_needs|You need to appoint catalogue for this customer.|Необходимо назначить каталог для данного клиента.|Este necesar de a desemna catalogul pentru acest client
market.views.site.supplier.register|You need to sign in MixCart|Необходимо зарегистрироваться в системе MixCart|Trebuie să vă înregistrați în sistemul MixCart
common.mail.request_set_responsible.change|You request is changing |Изменение Вашей заявки|Modificarea cererii Dvs.
franchise.views.site.req_will|You request will be processed in the order of arrival and priority|Ваш запрос будет обработан в порядке очереди и приоритета|Cererea dumneavoastră va fi procesată conform ordinii și priorităților
frontend.controllers.vendor.cat_cr|You successfully created your first catalogue!|Вы успешно создали свой первый каталог!|Ați creat primul catalog nou cu succes!
frontend.controllers.vendor.wrong_art|You try to load one or more items with the same order code!|Вы пытаетесь загрузить одну или более позиций с одинаковым артикулом!|Încercați să descărcați unul sau mai multe poziții cu același articol!
api.modules.v1.modules.mobile.controllers.you_set|You were appointed as a performer for request No.%s|Вы назначены исполнителем по заявке №%s|Ați fost desemnat executorul cererii №%s
api.modules.v1.modules.mobile.controllers.you_dismissed|You were removed from the execution of request No.%s|Вы сняты с исполнения по заявке №%s|Ați fost înlăturat de la executarea comenzii №%s
franchise.views.finance.your_percent_three|Your %:|Ваш %:|% Dvs.
frontend.views.client.index.vendor_list|Your List of Suppliers.|Список ваших поставщиков.|Lista furnizorilor dvs.
frontend.views.client.index.list|Your List of Suppliers. We add several suppliers that we recommend. |Список ваших поставщиков. Специально для Вас мы добавили несколько рекомендованных нами поставщиков|Lista de furnizori. Special pentru Dvs. am adaugat câțiva furnizori noi recomandați
api.modules.v1.modules.mobile.components.notifications.pass_changed|Your MixCart Account password has been changed.|Пароль Вашей учетной записи в системе MixCart изменен. |Parola pentru contul dvs. în sistemul MixCart a fost modificată.
frontend.widgets.cart.views.empty|Your cart is empty, let it be improved!|Ваша корзина пуста и это нужно исправить!|Coșul Dvs. este gol! Trebuie să soluționați această problemă!
frontend.views.client.index.var3|Your cart. Here you can find orders that are ready to be sent to the supplier. |Ваша корзина. Здесь хранятся заказы, готовые для отправки поставщику.|Coșul dvs.. Aici sunt stocate comenzi, gata pentru a fi expediate furnizorului.
franchise.views.organization.your_org|Your companies|Ваши организации|Companiile dvs.
franchise.controllers.wrong_email|Your email or password is incorrect|Вы указали неверную почту или пароль|Ați indicat email sau parola greșită.
franchise.views.finance.your_fin|Your funds|Ваши финансы|Mijloacele Dvs. financiare
franchise.views.site.your_income|Your profit|Ваша прибыль|Profitul Dvs.
franchise.views.agent-request.your_requests_two|Your requests on registration of the companies|Ваши заявки на регистрацию организаций|Cererile dvs. de înregistrare a companiilor
franchise.views.organization.your_rest_two|Your restaurants|Ваши рестораны|Restaurantele dvs.
franchise.views.organization.your_vendors_two|Your suppliers|Ваши поставщики|Furnizorii Dvs.
franchise.mail.layouts.html.you|You’ve got this letter because you signed up in the website|Вы получили это письмо, т.к. зарегистрированы на сайте|Ați primit această scriisoare deoarece sunteți înregistrat pe site
Замбия|Zambia|Замбия|Zambia
Зимбабве|Zimbabwe|Зимбабве|Zimbabwe
Кабачки|Zucchini|Кабачки|Dovlecei
market.views.site.search_prods.price|agreed price|договорная цена|prețul contractului
frontend.controllers.client.and_catalog_two|and catalogue was added! Instruction for authorization was sent to the mail| и каталог добавлен! Инструкция по авторизации была отправлена на почту |și catalogul a fost adăugat! Instrucțiunea de autorizare a fost trimisă pe email
frontend.views.order.in_process|are in progress|Выполняются|Se efectuează
frontend.views.client.index.self|at your suppliers|у своих поставщиков|la furnizorii săi
frontend.views.client.index.avail|available for order|доступно для заказа товаров|disponibil pentru comandarea bunurilor
мешок|bag|мешок|sac
common.config.main.empty|blank|пусто|gol
бутылка|bottle|бутылка|sticlă
коробка|box|коробка|cutie
банка|can|банка|borcan
common.mail.order_canceled.cancel|canceled order No.| отменил заказ №|  comandă anulată
frontend.controllers.order.cancel_discount|canceled reduction to the order No.| отменил скидку на заказ №|  a anulat reducerea pentru comanda nr.
frontend.controllers.order.cancelled_order_five|canceled the order!| отменил заказ!|  a anulat comanda!
Сыры|cheese|Сыры|brânzeturi
см|cm|см|cm
КОНДИТЕРСКИЕ ИЗДЕЛИЯ, МОРОЖЕНОЕ|confectionary, ice-cream|КОНДИТЕРСКИЕ ИЗДЕЛИЯ, МОРОЖЕНОЕ|PRODUSE DE PATISERIE, ÎNGHEȚATĂ
frontend.views.user.default.sent|confirmation letter has been sent to your email.<br>To continue work in the system please click the link in the letter.|было выслано письмо с подтверждением.<br>Для продолжения работы в системе пройдите по ссылке в письме.|A fost trimisă o scrisoare de confirmare. <br> Pentru a continua să lucrați în sistem, faceți clic pe linkul din scrisoare.
frontend.controllers.order.confirm_order_two|confirmed the order!| подтвердил заказ!|a confirmat comanda!
frontend.views.layouts.main.contact_us|contact us|связаться с нами|contactați-ne
контейнер|container|контейнер|containerul
ящик|crate|ящик|cutie
common.mail.order_created.new_order|created new order No.| создал новый заказ №|  a creat o nouă comandă
frontend.views.vendor.curr_month|current month|Текущий месяц|Luna curentă
баллон|cylinder|баллон|cilindru
МОЛОЧНЫЕ ПРОДУКТЫ|dairy  products|МОЛОЧНЫЕ ПРОДУКТЫ|PRODUSE LACTATE
frontend.views.request.twenty_four_two|delivery within 24 hours|доставить в течении 24 часов|livrarea în 24 de ore
frontend.controllers.order.value|equal to:| в размере: |  în mărime de:
frontend.controllers.client.already|err: User is available in the database! Ban user for the appeared error))!|err: User уже есть в базе! Банить юзера за то, что вылезла подобная ошибка))!|err: Utilizatorul există deja în baza de date! Dezactivați utilizatorul pentru faptul că astfel de erori au apărut))!
frontend.controllers.client.none_ajax|err: form it is not ajax that directed the form!|err: форма передана не ajax-ом!|err: formularul nu este trecut la ajax!
common.mail.request_set_responsible.took_off_two|executor is removed|снят исполнитель|executorul a fost înlăturat
frontend.views.vendor.export|export|экспорт|export
frontend.views.layouts.left_additional|ext.| доб. |ext.
РЫБА И МОРЕПРОДУКТЫ|fish & seafood|РЫБА И МОРЕПРОДУКТЫ|PEȘTE ȘI FRUCTE DE MARE
frontend.widgets.cart.views.for_one|for 1|за 1|pentru 1
frontend.views.site.index.for_rest|for restaurants|Для ресторанов|Pentru restaurante
frontend.views.site.index.for_vendors_two|for suppliers|Для поставщиков|Pentru furnizori
frontend.widgets.cart.views.free_delivery|free delivery!|бесплатная доставка!|livrare gratuită!
frontend.views.order.pdf_ot|from|от|de la
г|g|г|g
common.mail.order_done.accepted|got order No.| получил заказ №|A primit comanda nr.
frontend.controllers.order.receive_order_five|got the order!| получил заказ!|  a primit comanda!
 назначил для Вас каталог в системе|have assigned a catalog for you in the system| назначил для Вас каталог в системе|  A atribuit un catalog pentru dvs. în sistem
common.models.hour_two|hour|часа|ore
common.models.hours|hours|часов|ore
ХОЗТОВАРЫ|housewares|ХОЗТОВАРЫ|articolelor de uz casnic
frontend.views.site.horeca|in HoReCa field|в сфере HoReCa|în domeniul HoReCa
включая доставку|including delivery|включая доставку|inclusiv livrarea
common.mail.layouts.infoemail|info@mixcart.ru|info@mixcart.ru|info@mixcart.ru
frontend.views.request.excluded|is eliminated!|Исключен!|Exclus!
frontend.views.request.not_set|is not appointed|не назначен|nu este desemnat
franchise.controllers.positions|items (new items) , get in contact with us and we will help you| позиций (Новых позиций), обратитесь к нам и мы вам поможем|  poziții (articole noi), contactați-ne și vă vom ajuta
franchise.views.organization.ks_two|k/s|к/с:|f / s:
кг|kg|кг|kg
л|l|л|L
frontend.views.site.index.set_request_two|leave a request |Оставить заявку|lăsați cererea
м|m|м|m
frontend.controllers.order.discount|made a reduction to the order No.| сделал скидку на заказ №|a făcut o reducere la o comanda nr.
common.mail.order_change.change|made changes in the order No.| внес изменения в заказ №|a operat modificări în comanda nr.
common.models.additional_phone_two|manager additional number|Добавочный номер менеджера|Un număr adăugător al managerului
frontend.views.request.meat_two|meat|Мясо|Carne
сообщение доставлено|message delivered|сообщение доставлено|mesajul a fost livrat
из расторопши пятнистой|milk thistle oil|из расторопши пятнистой|din lapte de ciulini
common.models.minute|minute|минуту|un minut
common.models.minute_two|minutes|минут|minute
common.mail.layouts.home|mix-cart.com|mixcart.ru|mixcart.ru
api.modules.v1.modules.mobile.components.notifications.mix_req|mixcart.ru - request No.|mixcart.ru - заявка №|mixcart.ru - cererea nr.
api.modules.v1.modules.mobile.controllers.mix|mixcart.ru - request No.%s|mixcart.ru - заявка №%s|mixcart.ru - cererea nr%s
frontend.views.client.index.orders|of orders|заказов|comenzi
franchise.views.organization.rest|of restaurant|ресторана|restaurant
market.views.site.main.vendors|of suppliers|Поставщиков|a furnizorilor
market.views.site.rest.get_service|offer services|предложить услуги|oferă servicii
market.views.site.main.on_request|on the request|по запросу|la cererea
frontend.views.request.contact_us|or contact us to find out your regions of delivery|или свяжитесь с нами для уточнения Ваших регионов доставки|sau contactați-ne pentru a identifica regiunile în care livrați
frontend.views.client.index.var5|or find new by means of MixMarket service.|Или найти новых с помощью сервиса MixMarket.|sau găsiți noi prin intermediul sistemului Mixcart
franchise.views.site.or_try|or try using the search form.|or try using the search form.|sau încerați, utilizând formularul de căutare
frontend.views.layouts.main_call|order call|заказать звонок|comandă un apel telefonic
упаковка|package|Упаковка|Ambalaj 
пакет|packet|пакет|pachet
frontend.views.user.default.pass_three|password|Пароль|Parola
api.modules.v1.modules.mobile.components.notifications.executer_settled|performer was appointed| назначен исполнитель |desemnat executor 
штука|piece|штука|item/bucată
ПТИЦА и ЯЙЦА|poultry & eggs|ПТИЦА и ЯЙЦА|Carne de păsări de curte și OUĂ
market.views.site.main.goods|products|Товаров|Produse
franchise.views.organization.rs_two|r/s|р/с:|r/s:
common.mail.request_set_responsible.took_off|removed you from the request execution|снял Вас с исполнения заявки|va înlăturat de la executarea cererii
frontend.controllers.order.rep|report|отчет|raport
frontend.views.request.req|requests|Заявки|Cereri
franchise.views.site.return|return to dashboard|return to dashboard|return to dashboard
из рисовых отрубей|rice bran oil|из рисовых отрубей|din tărâțe de orez
СОУСЫ И УКСУСЫ|sauces  and vinegars|СОУСЫ И УКСУСЫ|SOSURI ȘI OȚETURI
common.models.sec|second|секунду|secundă
common.models.sec_two|seconds|секунд|secunde
отправка отменена пользователем|sending canceled by the user|отправка отменена пользователем|trimiterea fost anulată de către utilizator
отправлено|sent|отправлено|trimis
набор|set|набор|set
Специи|spices|Специи|Condimente
системная ошибка|system error|системная ошибка|eroare de sistem
сообщение не может быть доставлено (ошибка в номере, номер не существует и т.д.)|the message can not be delivered (an error in the number, the number does not exist, etc.)|сообщение не может быть доставлено (ошибка в номере, номер не существует и т.д.)|mesajul nu poate fi livrat (o eroare în număr, numărul nu există, etc.)
сообщение не принято оператором|the message is not accepted by the operator|сообщение не принято оператором|mesajul nu a fost acceptat de operator
оператор не сообщил о состоянии сообщения за отведенное время.|the operator did not report the status of the message within the allotted time.|оператор не сообщил о состоянии сообщения за отведенное время.|operatorul nu a raportat despre starea mesajului în timpul alocat.
время попыток доставить сообщение оператором истекло|time of attempts to deliver the message by the operator expired|время попыток доставить сообщение оператором истекло|timpul de încercări de a livra un mesaj către operator a expirat
frontend.views.user.default.email|to the email specified by you|На указанную Вами почту|La adresa de email, pe care ați specificat-o
frontend.widgets.cart.views.sum|to the total amount|на общую сумму|pentru o sumă totală de
franchise.controllers.undefined|unknown|неизвестно|necunoscut
frontend.widgets.cart.views.for_free|up to free delivery|до бесплатной доставки|înainte de expedierea gratuită
frontend.widgets.cart.views.for_minimal|up to minimal order|до минимального заказа|la comanda minimă
frontend.controllers.client.invites_you|welcomes into the system | приглашает вас в систему|  vă invită în sistem
frontend.views.vendor.monthly|within one month|За месяц|timp de o lună
common.models.no_discount|without discount|Без скидки|Fără reducere
frontend.views.order.index.report|xls report|отчет xls|Raportul xls 
frontend.excel.year|year|года|anul
{attr} not found|{attr} not found|{attr} не найден|{attr} nu a fost găsit
sms.request_add_supplier|{client_name} will working with you via mix-cart.com|{client_name} хочет работать с вами на mixcart.ru|{client_name} dorește să colaboreze cu Dvs. în mixcart.ru
sms.order_canceled|{name} canceled order at|{name} отменил заказ|{name} a anulat comanda
sms.order_done|{name} completed order at|{name} завершил заказ|{name} a finisat comanda
sms.order_changed|{name} modified order details at|{name} изменил детали заказа|{name} a modificat detaliile comenzii
sms.order_processing|{vendor_name} agreed order at|{vendor_name} согласовал заказ|{name} a coordonat comanda
sms.request_new_callback|{vendor_name} responded to you request No.{request_id} at mix-cart.com|{vendor_name} оставил отклик на вашу заявку №{request_id} на mixcart.ru|{vendor_name} a lăsat un răspuns la cererea dvs. # {request_id} pe mixcart.ru
common.mail.accept_active_vendor_invite.we|{vendor}, has already made its work easier with MixCart {link} and is glad to invite you to work together on mix-cart.com.|{vendor}, уже сделал свою работу легче с помощью {link} и приглашает вас работать вместе с ним.|{vendor}, și-a simplificat deja lucrul cu ajutorul  {link} și vă invită să lucrați cu el.
Эландские острова|Åland Islands|Эландские острова|Insulele Åland
Австралия и Новая Зеландия||Австралия и Новая Зеландия|Australia și Noua Zeelandă
Австрийская Республика||Австрийская Республика|Republica Austria
Алжирская Народная Демократическая Республика||Алжирская Народная Демократическая Республика|Republica Populară Democrată Algeriană
Арабская Республика Египет||Арабская Республика Египет|Republica Arabă Egipt
Аргентинская Республика||Аргентинская Республика|Republica Argentina
Боливарийская Республика Венесуэла||Боливарийская Республика Венесуэла|Republica Bolivariană Venezuela
Британские Виргинские острова||Британские Виргинские острова|Insulele Virgine Britanice
Великое Герцогство Люксембург||Великое Герцогство Люксембург|Marele Ducat al Luxemburgului
Венгерская Республика||Венгерская Республика|Republica Ungară
Виргинские острова Соединенных Штатов||Виргинские острова Соединенных Штатов|Statele Unite Insulele Virgine
Восточная Азия||Восточная Азия|Asia de Est
Восточная Африка||Восточная Африка|Africa de Est
Восточная Европа||Восточная Европа|Europa de Est
Восточная Республика Уругвай||Восточная Республика Уругвай|Republica Orientală Uruguay
frontend.controllers.vendor.cat_error_five_two||Вы пытаетесь загрузить одну или более позиций с одинаковым наименованием!|Încercați să încărcați unul sau mai multe articole cu același nume!
Габонская Республика||Габонская Республика|Republica gaboneză
Гвинейская Республика||Гвинейская Республика|Republica Guineea
Государство Израиль||Государство Израиль|Statul Israel
Государство Катар||Государство Катар|Statul Qatar
Государство Кувейт||Государство Кувейт|Statul Kuwait
Греческая Республика||Греческая Республика|Republica Elenă
Демократическая Республика Конго||Демократическая Республика Конго|Republica Democratică Congo
Демократическая Республика Сан-Томе и Принсипи||Демократическая Республика Сан-Томе и Принсипи|Republica Democratică São Tomé și Príncipe
Демократическая Республика Тимор-Лесте||Демократическая Республика Тимор-Лесте|Republica Democrată Timor-Leste
Демократическая Социалистическая Республика Шри-Ланка||Демократическая Социалистическая Республика Шри-Ланка|Republica Democratică Socialistă Sri Lanka
common.mail.test.text2||Если вы видите это письмо, скорее всего, у вас нет никаких проблем с получением нашей почты, либо эти проблемы были решены.|Dacă vedeți această scrisoare, cel mai probabil nu aveți probleme cu primirea corespondenței noastre sau aceste probleme au fost soluționate.
Закавказье||Закавказье|Transcaucazia
Западная Азия||Западная Азия|Asia de Vest
Западная Африка||Западная Африка|Africa de Vest
Западная Европа||Западная Европа|Europa de Vest
common.mail.test.greetings||Здравствуйте!|Bine ai venit!
Индийский океан||Индийский океан|Oceanul Indian
Иорданское Хашимитское Королевство||Иорданское Хашимитское Королевство|Regatul Hașemit al Iordaniei
Исламская Республика Иран||Исламская Республика Иран|Republica Islamică Iran
Исламская Республика Мавритания||Исламская Республика Мавритания|Republica Islamică Mauritania
Исламская Республика Пакистан||Исламская Республика Пакистан|Republica Islamică Pakistan
Итальянская Республика||Итальянская Республика|Republica Italiană
Йеменская Республика||Йеменская Республика|Republica Yemen
